OBJECTID,LUAS_HA,RKT_2,ESTNR,SOURCECODE,Shape_Leng,Shape_Area
"1",607.55816000000,"2032",AA01,4.00000000000,20500.65332240000,6075581.60816999897
"2",2196.59700000000,"2024",AA01,4.00000000000,54606.15438380000,21965970.01779999956
"3",1454.55228000000,"2030",AA01,4.00000000000,19640.51022660000,14545522.84070000052
"4",2208.96075000000,"2023",AA01,4.00000000000,40967.06211440001,22087405.24399999902
"5",782.99513000000,BUFFER ZONE,AA01,4.00000000000,32314.95748610000,7829951.34057000093
"6",4143.71157000000,ZONA KONSERVASI,AA01,4.00000000000,47516.75082720000,41437115.69659999758
"7",1185.43857000000,"2034",AA01,4.00000000000,20793.67494170000,10855472.39369999990
"8",1093.23087000000,"2042",AA01,4.00000000000,34369.99837860000,10932308.70419999957
"9",1805.99945000000,KAWASAN LINDUNG KAMPUNG,AA01,4.00000000000,33813.16571030001,18059994.47019999847
"10",89.01744000000,KPPN,AA01,4.00000000000,5961.39612258000,890174.40458300000
"11",100.00000000000,KB,AA01,4.00000000000,4000.00000000000,1000000.00000000000
"12",99.89152000000,KPPN,AA01,4.00000000000,3997.95980000000,998915.19090900000
"13",96.53405000000,KB,AA01,4.00000000000,3982.02309990000,965340.54560600000
"14",99.89152000000,KB,AA01,4.00000000000,3997.95980000000,998915.18929699995
"15",99.89153000000,KB,AA01,4.00000000000,3997.96000000000,998915.29005199997
"16",99.89151000000,KPPN,AA01,4.00000000000,3997.95960000000,998915.09015499998
"17",1711.37151000000,ZONA KONSERVASI,AA01,4.00000000000,21237.99840420000,17113714.98640000075
"18",1277.58168000000,KAWASAN LINDUNG KAMPUNG,AA01,4.00000000000,17026.96208750000,12775816.84019999951
"19",102.79278000000,KB,AA01,4.00000000000,5454.07931649000,1027927.80454000004
"20",99.99999000000,KPPN,AA01,4.00000000000,3999.99980000000,999999.90000000002
"21",1291.78185000000,"2045",AA01,4.00000000000,15817.65088040000,12917818.50640000030
"22",1395.93702000000,"2050",AA01,4.00000000000,49854.99482650000,13959370.21260000020
"23",1307.70889000000,"2049",AA01,4.00000000000,16254.23689660000,13077088.85190000199
"24",1245.10780000000,"2047",AA01,4.00000000000,22803.30051530000,12451077.99950000085
"25",2074.70771000000,KAWASAN LINDUNG KAMPUNG,AA01,4.00000000000,49966.32271420000,20747077.09050000086
"26",4176.71321000000,BUFFER ZONE,AA01,4.00000000000,168319.87702399999,41767131.46280000359
"27",946.34991000000,ZONA KONSERVASI,AA01,4.00000000000,16760.23416140000,9463498.96903000027
"28",1369.35615000000,"2048",AA01,4.00000000000,22270.23282750000,13693560.89499999955
"29",1103.70926000000,"2038",AA01,4.00000000000,18687.89506490000,11037083.63609999977
"30",95.31353000000,KPPN,AA01,4.00000000000,3846.77532055000,953135.37344300002
"31",110.38940000000,KPSL,AA01,4.00000000000,4266.47156291000,1103894.04585999995
"32",51.70850000000,SPDS,AA01,4.00000000000,10539.83147770000,517084.96855100000
"33",17.87284000000,SPDS,AA01,4.00000000000,3777.71168083000,178728.39224700001
"34",57.54880000000,SPDS,AA01,4.00000000000,11419.85732460000,575487.97382199997
"35",115.24778000000,SPDS,AA01,4.00000000000,34697.95800590000,1152477.75789000001
"36",87.61066000000,KPPN,AA01,4.00000000000,6254.72327674000,876106.62045699998
"37",90.67066000000,SPDS,AA01,4.00000000000,18111.96729560000,906706.57474900002
"38",226.07976000000,SPDS,AA01,4.00000000000,44679.58198460000,2260797.55960999988
"39",73.50556000000,SPDS,AA01,4.00000000000,14881.04199440000,735055.60084900004
"40",72.88998000000,SPDS,AA01,4.00000000000,15440.64018650000,728899.78077199997
"41",97.81582000000,KB,AA01,4.00000000000,3891.88534299000,978158.15510800004
"42",1442.58153000000,"2051",AA01,4.00000000000,18868.79966650000,14425815.25789999962
"43",4108.74841000000,KAWASAN LINDUNG KAMPUNG,AA01,4.00000000000,80120.46871180000,41087837.53000000119
"44",1418.94566000000,"2044",AA01,4.00000000000,25556.61035660000,14189456.61810000055
"45",1236.84214000000,"2043",AA01,4.00000000000,21101.97716250000,12368421.37370000221
"46",23.73924000000,PUP,AA01,4.00000000000,1948.94256759000,237392.35617200000
"47",0.85124000000,NH,AA01,4.00000000000,476.48062652600,8512.41991971000
"48",23.73118000000,NH,AA01,4.00000000000,4492.24831695000,237311.75963499999
"49",13.38934000000,NH,AA01,4.00000000000,1841.85926032000,133893.36504199999
"50",10.15220000000,NH,AA01,4.00000000000,2254.44571659000,101521.95172899999
"51",1880.86857000000,"2027",AA01,4.00000000000,37619.23967440000,18808837.73629999906
"52",1852.74321000000,"2029",AA01,4.00000000000,37221.84148700000,17536331.51889999956
"53",2226.35207000000,"2026",AA01,4.00000000000,23407.50955180000,22263520.83639999852
"54",2198.65267000000,"2025",AA01,4.00000000000,36511.58251370000,21986526.65459999815
"55",1111.82232000000,"2033",AA01,4.00000000000,17683.31074960000,11118223.21749999933
"56",0.54588000000,NH,AA01,4.00000000000,442.73262556400,5458.86371499000
"57",28.60354000000,NH,AA01,4.00000000000,3311.14138444000,286030.41109600000
"58",24.39262000000,NH,AA01,4.00000000000,2953.73773717000,243926.19819500000
"59",14.17133000000,NH,AA01,4.00000000000,1737.04520138000,141713.29175199999
"60",1511.13317000000,"2046",AA01,4.00000000000,24228.55876610000,15111331.70329999924
"61",99.99999000000,KPSL,AA01,4.00000000000,3999.99980000000,999999.90000000002
"62",1142.27176000000,"2036",AA01,4.00000000000,14660.75048090000,11422717.58980000019
"63",1252.16087000000,"2040",AA01,4.00000000000,22804.94608170000,12521608.60459999926
"64",31.49711000000,SPDS,AA01,4.00000000000,6361.25251352000,314971.05955399998
"65",7.00427000000,SPDS,AA01,4.00000000000,7031.86678454000,70042.65299940000
"66",1.35618000000,SPDS,AA01,4.00000000000,1387.27173114000,13561.77916660000
"67",8.51198000000,SPDS,AA01,4.00000000000,8525.17537909000,85119.80226680000
"68",43.40803000000,SPDS,AA01,4.00000000000,12339.32587790000,434080.27589200001
"69",1.11166000000,SPDS,AA01,4.00000000000,1183.26750780000,11116.58159500000
"70",1463.02892000000,"2052",AA01,4.00000000000,51778.55434100000,13641800.90809999965
"71",97.19402000000,KPSL,AA01,4.00000000000,4363.45982634000,971940.16501800006
"72",1872.33649000000,"2028",AA01,4.00000000000,45441.16973670000,18723368.17399999872
"73",534.80432000000,"2031",AA01,4.00000000000,11581.17361900000,5348043.20999999996
"74",1122.69625000000,"2035",AA01,4.00000000000,19162.79848250000,10226962.51410000026
"75",1069.16704000000,"2037",AA01,4.00000000000,22630.81469570000,10691670.47330000065
"76",1155.39476000000,"2041",AA01,4.00000000000,30101.19144970000,11553947.53150000051
"77",1120.86062000000,"2039",AA01,4.00000000000,20286.65439630000,11208606.18180000037
"78",99.11006000000,PUP,AA01,4.00000000000,3967.59750502000,991100.57861500001
"79",99.06905000000,PUP,AA01,4.00000000000,3981.05187645000,990690.51675800001
"80",99.89133000000,PUP,AA01,4.00000000000,3997.95600005000,998913.28361000004
"81",100.00000000000,PUP,AA01,4.00000000000,4000.00000000000,1000000.00000000000
