nomor_pohon,barcode_pohon,jenis_pohon,nomor_petak,luas_petak,nomor_jalur,arah_jalur,panjang_jalur,status_pohon, monitoring ,icon,Longitude,Latitude, panjang_pohon ,pangkal_pohon,ujung_pohon,rata_rata_pohon, volume_pohon ,no_produk,image1,image2
27,1904A09SMLJ0000000000128694.01,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7887813,2.134195592,19.4,93,72,82,10.25,1719,media/,media/
27,1904A09SMLJ0000000000128694.02,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7887813,2.134195592,15,72,56,64,4.83,1720,media/,media/
29,1904A09SMLJ0000000000128695,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7887121,2.134446822,22.6,65,56,60,6.39,1718,media/,media/
36,1904A09SMLJ0000000000128696,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7886929,2.135264522,0,0,0,0,0,0,media/,media/
39,1904A09SMLJ0000000000128697,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7888126,2.135995264,20,53,35,44,3.04,1734,media/,media/
45,1904A09SMLJ0000000000128698,Kapur,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7888638,2.136620246,20.5,59,37,48,3.71,2062,media/,media/
48,1904A09SMLJ0000000000128699.01,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7888903,2.136459505,15,70,60,65,4.98,1726,media/,media/
48,1904A09SMLJ0000000000128699.02,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7888903,2.136459505,17.4,60,46,53,3.84,1732,media/,media/
55,1904A09SMLJ0000000000128700,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7890309,2.135638733,12.1,97,90,93,8.07,1743,media/,media/
59,1904A09SMLJ0000000000128701,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7889751,2.135065299,19.8,60,50,55,4.7,1727,media/,media/
74,1904A09SMLJ0000000000128703,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7889364,2.134476744,19.6,75,60,67,6.91,1762,media/,media/
76,1904A09SMLJ0000000000128704,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7889357,2.13434098,22.4,56,36,46,3.72,1756,media/,media/
83,1904A09SMLJ0000000000128705,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7889492,2.1332787,17.8,54,41,47,3.09,1786,media/,media/
89,1904A09SMLJ0000000000128707.01,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7889291,2.132678388,16.1,91,71,81,8.3,1723,media/,media/
89,1904A09SMLJ0000000000128707.02,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7889291,2.132678388,17,71,58,64,5.47,1733,media/,media/
92,1904A09SMLJ0000000000128708,Meranti Kuning,X-01,57,2,SELATAN,629,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7889272,2.132209375,0,0,0,0,0,0,media/,media/
93,1904A09SMLJ0000000000128709,Meranti Kuning,X-01,57,2,SELATAN,629,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7889445,2.132116689,0,0,0,0,0,0,media/,media/
94,1904A09SMLJ0000000000128710,Meranti Kuning,X-01,57,2,SELATAN,629,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7888815,2.13211668,0,0,0,0,0,0,media/,media/
96,1904A09SMLJ0000000000128711,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7888705,2.131516883,12.8,115,74,94,8.88,1721,media/,media/
104,1904A09SMLJ0000000000128712,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.789073,2.132673953,20.5,73,60,66,6.19,1751,media/,media/
109,1904A09SMLJ0000000000128714.01,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7891424,2.132803153,12.2,78,65,71,4.83,1768,media/,media/
109,1904A09SMLJ0000000000128714.02,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7891424,2.132803153,15.2,65,44,54,3.48,1779,media/,media/
111,1904A09SMLJ0000000000128715,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7891167,2.133380567,20.1,64,53,58,5.31,1742,media/,media/
112,1904A09SMLJ0000000000128716,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7890808,2.133380562,18.1,70,59,64,5.82,1735,media/,media/
116,1904A09SMLJ0000000000128717,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7891725,2.133943785,0,0,0,0,0,0,media/,media/
125,1904A09SMLJ0000000000128718.01,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7891558,2.134977284,13.3,97,85,91,8.65,1744,media/,media/
125,1904A09SMLJ0000000000128718.02,Meranti Merah,X-01,57,3,UTARA,620,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7891558,2.134977284,13.4,85,70,77,6.24,1788,media/,media/
134,1904A09SMLJ0000000000128719,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7892103,2.136748614,19.7,62,46,54,4.51,1740,media/,media/
155,1904A09SMLJ0000000000128721,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7893082,2.134838178,20,57,37,47,3.47,1748,media/,media/
158,1904A09SMLJ0000000000128722.01,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7894018,2.134639251,11.1,104,80,92,6.79,1746,media/,media/
158,1904A09SMLJ0000000000128722.02,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7894018,2.134639251,17.4,80,67,73,7.11,1749,media/,media/
182,1904A09SMLJ0000000000128724,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.789311,2.132426379,22.4,67,51,59,6.12,1730,media/,media/
186,1904A09SMLJ0000000000128725.01,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7894527,2.132187777,17.5,72,56,64,5.63,1776,media/,media/
186,1904A09SMLJ0000000000128725.02,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7894527,2.132187777,16.5,56,43,49,3.11,1787,media/,media/
191,1904A09SMLJ0000000000128726,Meranti Merah,X-01,57,4,SELATAN,607,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7892944,2.131937566,13.5,60,50,55,2.9,1773,media/,media/
199,1904A09SMLJ0000000000128727,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7897298,2.13245195,19.4,58,44,51,3.96,1783,media/,media/
200,1904A09SMLJ0000000000128728,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7897182,2.132907616,19.5,63,50,56,4.8,1728,media/,media/
202,1904A09SMLJ0000000000128729,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7897052,2.132983254,15.9,50,30,40,2,2055,media/,media/
209,1904A09SMLJ0000000000128730,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7896529,2.133797853,23,65,48,56,5.66,1753,media/,media/
210,1904A09SMLJ0000000000128731,Bangkirai,X-01,57,5,UTARA,587,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.789545,2.133797838,0,0,0,0,0,0,media/,media/
212,1904A09SMLJ0000000000128732,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7895256,2.13415071,15.6,89,74,81,8.04,1790,media/,media/
223,1904A09SMLJ0000000000128733,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.789614,2.134870839,18.7,60,45,52,3.97,1729,media/,media/
224,1904A09SMLJ0000000000128734,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7896638,2.135132553,19.9,77,68,72,8.1,1739,media/,media/
226,1904A09SMLJ0000000000128735,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7895704,2.135295245,17.9,95,84,89,11.14,1758,media/,media/
227,1904A09SMLJ0000000000128736,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7895974,2.135277154,19.6,71,57,64,5.52,1754,media/,media/
229,1904A09SMLJ0000000000128737,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7895991,2.135623994,21.2,70,50,60,5.99,1724,media/,media/
230,1904A09SMLJ0000000000128738,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7896402,2.13568386,15.8,61,55,58,3.77,1725,media/,media/
231,1904A09SMLJ0000000000128739,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7896181,2.135991186,20.9,56,40,48,3.78,1757,media/,media/
236,1904A09SMLJ0000000000128740,Meranti Merah,X-01,57,5,UTARA,587,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7895855,2.136435524,17.2,54,43,48,3.11,1731,media/,media/
247,1904A09SMLJ0000000000128741,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7897295,2.136420136,20.2,76,62,69,7.55,2065,media/,media/
249,1904A09SMLJ0000000000128742,Terap,X-01,57,6,SELATAN,563,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7898061,2.136150107,0,0,0,0,0,0,media/,media/
253,1904A09SMLJ0000000000128744,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7897485,2.135175715,15.2,89,70,79,7.45,1750,media/,media/
260,1904A09SMLJ0000000000128745,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7899039,2.134908125,20.2,58,43,50,3.97,1741,media/,media/
267,1904A09SMLJ0000000000128746,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7898435,2.134706383,22.1,57,40,48,4,1755,media/,media/
268,1904A09SMLJ0000000000128747,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7898909,2.134658501,0,0,0,0,0,0,media/,media/
270,1904A09SMLJ0000000000128748,Meranti,X-01,57,6,SELATAN,563,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7899114,2.13441158,0,0,0,0,0,0,media/,media/
273,1904A09SMLJ0000000000128750,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7898739,2.133904796,23.2,77,60,68,8.43,1771,media/,media/
275,1904A09SMLJ0000000000128751,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7898398,2.133803542,18.3,54,40,47,3.17,1772,media/,media/
278,1904A09SMLJ0000000000128752,Meranti Merah,X-01,57,6,SELATAN,563,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7898834,2.133197299,17.2,63,50,56,4.24,1767,media/,media/
292,1904A09SMLJ0000000000128754,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7900214,2.13189628,16.2,58,45,51,3.31,1763,media/,media/
302,1904A09SMLJ0000000000128755,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7901927,2.132901476,21.1,60,40,50,4.14,2073,media/,media/
305,1904A09SMLJ0000000000128756,Medang,X-01,57,7,UTARA,556,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7901404,2.133041532,0,0,0,0,0,0,media/,media/
314,1904A09SMLJ0000000000128757,Meranti,X-01,57,7,UTARA,556,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7901516,2.133960568,0,0,0,0,0,0,media/,media/
317,1904A09SMLJ0000000000128760,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7901054,2.134725159,21.7,70,55,62,6.55,1752,media/,media/
320,1904A09SMLJ0000000000128762,Bangkirai,X-01,57,7,UTARA,556,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7900463,2.135074635,0,0,0,0,0,0,media/,media/
321,1904A09SMLJ0000000000128763,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7901542,2.135029414,16.8,64,52,58,4.44,2077,media/,media/
326,1904A09SMLJ0000000000128764,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7900841,2.135159376,18.4,55,40,47,3.19,1738,media/,media/
328,1904A09SMLJ0000000000128765,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790224,2.135675017,0,0,0,0,0,0,media/,media/
330,1904A09SMLJ0000000000128766,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7900891,2.135674998,18.6,56,41,48,3.37,2074,media/,media/
331,1904A09SMLJ0000000000128767,Meranti Kuning,X-01,57,7,UTARA,556,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902167,2.135813744,0,0,0,0,0,0,media/,media/
340,1904A09SMLJ0000000000128768,Meranti Merah,X-01,57,7,UTARA,556,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7900606,2.136306425,21.1,50,36,43,3.06,1782,media/,media/
341,1904A09SMLJ0000000000128769,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7903158,2.136925629,19.7,54,40,47,3.42,2056,media/,media/
344,1904A09SMLJ0000000000128770,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7904161,2.136510343,0,0,0,0,0,0,media/,media/
347,1904A09SMLJ0000000000128771,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7903942,2.136374262,19.8,89,58,73,7.65,2053,media/,media/
351,1904A09SMLJ0000000000128773,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902699,2.136041993,0,0,0,0,0,0,media/,media/
355,1904A09SMLJ0000000000128775,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7903202,2.135877159,0,0,0,0,0,0,media/,media/
358,1904A09SMLJ0000000000128779,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7902897,2.135645262,14.8,79,70,74,6.37,2079,media/,media/
359,1904A09SMLJ0000000000128778,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7903616,2.135636225,0,0,0,0,0,0,media/,media/
363,1904A09SMLJ0000000000128780,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902552,2.134781751,0,0,0,0,0,0,media/,media/
365,1904A09SMLJ0000000000128781,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902514,2.134732727,0,0,0,0,0,0,media/,media/
370,1904A09SMLJ0000000000128782,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902234,2.133724433,0,0,0,0,0,0,media/,media/
371,1904A09SMLJ0000000000128783,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902324,2.133733481,0,0,0,0,0,0,media/,media/
375,1904A09SMLJ0000000000128784,Meranti,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7903636,2.133664754,0,0,0,0,0,0,media/,media/
376,1904A09SMLJ0000000000128785,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7903366,2.133601421,13.2,68,52,60,3.73,1769,media/,media/
377,1904A09SMLJ0000000000128786,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7902916,2.133556179,17.4,73,58,65,5.77,1747,media/,media/
380,1904A09SMLJ0000000000128787,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902211,2.133171605,0,0,0,0,0,0,media/,media/
386,1904A09SMLJ0000000000128788,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7903598,2.132573883,0,0,0,0,0,0,media/,media/
391,1904A09SMLJ0000000000128789,Meranti Merah,X-01,57,8,SELATAN,558,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7902931,2.132441466,0,0,0,0,0,0,media/,media/
396,1904A09SMLJ0000000000128790,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7905609,2.132503015,16.6,59,50,54,3.8,1325,media/,media/
397,1904A09SMLJ0000000000128791,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7905835,2.132628101,14.5,76,55,65,4.81,1321,media/,media/
402,1904A09SMLJ0000000000128792,Meranti,X-01,57,9,UTARA,559,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7906576,2.133000248,0,0,0,0,0,0,media/,media/
410,1904A09SMLJ0000000000128793,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.790629,2.13362417,11.5,80,67,73,4.81,1759,media/,media/
411,1904A09SMLJ0000000000128794,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7905301,2.133542732,0,0,0,0,0,0,media/,media/
424,1904A09SMLJ0000000000128797,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7906909,2.13500302,18,100,74,87,10.7,1784,media/,media/
437,1904A09SMLJ0000000000128798,Meranti,X-01,57,9,UTARA,559,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7905941,2.135952174,0,0,0,0,0,0,media/,media/
440,1904A09SMLJ0000000000128799,Meranti,X-01,57,9,UTARA,559,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790683,2.135635755,0,0,0,0,0,0,media/,media/
451,1904A09SMLJ0000000000128800,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7906701,2.136784907,15.7,77,57,67,5.54,2063,media/,media/
455,1904A09SMLJ0000000000128801,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790769,2.136712544,0,0,0,0,0,0,media/,media/
456,1904A09SMLJ0000000000128802,Meranti Merah,X-01,57,9,UTARA,559,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.790769,2.136703497,18,88,56,72,7.33,2066,media/,media/
460,1904A09SMLJ0000000000128803,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790938,2.136863986,0,0,0,0,0,0,media/,media/
461,1904A09SMLJ0000000000128804,Meranti,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7909111,2.136814681,0,0,0,0,0,0,media/,media/
464,1904A09SMLJ0000000000128805,Bangkirai,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790947,2.13664279,0,0,0,0,0,0,media/,media/
473,1904A09SMLJ0000000000128807,Bangkirai,X-01,57,10,SELATAN,562,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7908663,2.136225524,11.5,92,72,82,6.07,2078,media/,media/
476,1904A09SMLJ0000000000128808,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7909023,2.136171247,18.6,52,35,43,2.7,2068,media/,media/
477,1904A09SMLJ0000000000128809,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7909113,2.136113128,16.3,116,98,107,14.66,1715,media/,media/
479,1904A09SMLJ0000000000128810,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7908214,2.135950267,0,0,0,0,0,0,media/,media/
480,1904A09SMLJ0000000000128811,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7909579,2.135791503,0,0,0,0,0,0,media/,media/
481,1904A09SMLJ0000000000128812,Kempas,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790832,2.135791486,0,0,0,0,0,0,media/,media/
482,1904A09SMLJ0000000000128813,Meranti,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790805,2.135710058,0,0,0,0,0,0,media/,media/
483,1904A09SMLJ0000000000128814,Meranti,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790877,2.135646738,0,0,0,0,0,0,media/,media/
485,1904A09SMLJ0000000000128815,Meranti,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.790942,2.135460823,0,0,0,0,0,0,media/,media/
489,1904A09SMLJ0000000000128816,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7907845,2.135017757,0,0,0,0,0,0,media/,media/
492,1904A09SMLJ0000000000128818,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7908385,2.134909199,17.2,58,48,53,3.79,1764,media/,media/
498,1904A09SMLJ0000000000128820,Meranti Merah,X-01,57,10,SELATAN,562,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7907501,2.13443694,0,0,0,0,0,0,media/,media/
530,1904A09SMLJ0000000000128822,Meranti Merah,X-01,57,11,UTARA,577,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7912945,2.132627623,0,0,0,0,0,0,media/,media/
535,1904A09SMLJ0000000000128824,Meranti Merah,X-01,57,11,UTARA,577,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7912839,2.13297563,0,0,0,0,0,0,media/,media/
543,1904A09SMLJ0000000000128826,Meranti Merah,X-01,57,11,UTARA,577,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7912163,2.1341536,0,0,0,0,0,0,media/,media/
550,1904A09SMLJ0000000000128828,Meranti Kuning,X-01,57,11,UTARA,577,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7912442,2.136022493,0,0,0,0,0,0,media/,media/
551,1904A09SMLJ0000000000128829,Bangkirai,X-01,57,11,UTARA,577,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7912433,2.136392811,0,0,0,0,0,0,media/,media/
556,1904A09SMLJ0000000000128830,Meranti Merah,X-01,57,11,UTARA,577,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7912425,2.136509061,0,0,0,0,0,0,media/,media/
558,1904A09SMLJ0000000000128831,Pasang,X-01,57,11,UTARA,577,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7912507,2.136734663,15.8,67,57,62,4.77,2076,media/,media/
559,1904A09SMLJ0000000000128832,Kempas,X-01,57,11,UTARA,577,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.79116,2.136979514,14.9,63,54,58,3.94,2075,media/,media/
572,1904A09SMLJ0000000000128835,Meranti,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7914504,2.136129615,0,0,0,0,0,0,media/,media/
573,1904A09SMLJ0000000000128836,Meranti,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7914414,2.136084378,0,0,0,0,0,0,media/,media/
574,1904A09SMLJ0000000000128837,Meranti,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7914699,2.135984849,0,0,0,0,0,0,media/,media/
575,1904A09SMLJ0000000000128838,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7914623,2.135885824,0,0,0,0,0,0,media/,media/
582,1904A09SMLJ0000000000128841,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7914961,2.133856642,0,0,0,0,0,0,media/,media/
591,1904A09SMLJ0000000000128842,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7914315,2.1329464,0,0,0,0,0,0,media/,media/
592,1904A09SMLJ0000000000128843,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7913596,2.132901155,0,0,0,0,0,0,media/,media/
593,1904A09SMLJ0000000000128844,Terap,X-01,57,12,SELATAN,610,POHON TEBANG,Belum Tebang,icon/young_tree.svg,116.7913881,2.132755777,0,0,0,0,0,0,media/,media/
595,1904A09SMLJ0000000000128845.01,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7914165,2.132637516,15.9,90,74,82,8.4,1335,media/,media/
595,1904A09SMLJ0000000000128845.02,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7914165,2.132637516,18.2,74,63,68,6.61,1337,media/,media/
600,1904A09SMLJ0000000000128847,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7913564,2.132224458,11.6,89,74,81,5.98,1342,media/,media/
601,1904A09SMLJ0000000000128846,Meranti Merah,X-01,57,12,SELATAN,610,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,116.7913474,2.132179221,23.6,85,62,73,9.88,1340,media/,media/
