nomor_pohon,barcode_pohon,jenis_pohon,nomor_petak,luas_petak,Group,Icon,nomor_jalur,no_produk,rata_rata_pohon,panjang_pohon,pangkal_pohon,ujung_pohon,volume_pohon,arah_jalur,Latitude,Longitude,status_tebang,panjang_jalur,status_pohon,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image3Caption,Image3Source,Image3SourceLink,Image4,Image4Caption,Image4Source,Image4SourceLink,chart_link
27,1904A09SMLJ0000000000128694.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,1,1719,82,19.4,93,72,10.25,UTARA,2.134195592,116.7887813,Sudah Tebang,626,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
27,1904A09SMLJ0000000000128694.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,1,1720,64,15,72,56,4.83,UTARA,2.134195592,116.7887813,Sudah Tebang,626,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
29,1904A09SMLJ0000000000128695,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,1,1718,60,22.6,65,56,6.39,UTARA,2.134446822,116.7887121,Sudah Tebang,626,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
36,1904A09SMLJ0000000000128696,Meranti Merah,X-01,57,Pohon Muda,icon/young_tree.svg,1,,,,,,,UTARA,2.135264522,116.7886929,Belum Tebang,626,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
39,1904A09SMLJ0000000000128697,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,1,1734,44,20,53,35,3.04,UTARA,2.135995264,116.7888126,Sudah Tebang,626,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
45,1904A09SMLJ0000000000128698,Kapur,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,2062,48,20.5,59,37,3.71,SELATAN,2.136620246,116.7888638,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
48,1904A09SMLJ0000000000128699.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1726,65,15,70,60,4.98,SELATAN,2.136459505,116.7888903,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
48,1904A09SMLJ0000000000128699.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1732,53,17.4,60,46,3.84,SELATAN,2.136459505,116.7888903,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
55,1904A09SMLJ0000000000128700,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1743,93,12.1,97,90,8.07,SELATAN,2.135638733,116.7890309,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
59,1904A09SMLJ0000000000128701,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1727,55,19.8,60,50,4.7,SELATAN,2.135065299,116.7889751,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
74,1904A09SMLJ0000000000128703,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1762,67,19.6,75,60,6.91,SELATAN,2.134476744,116.7889364,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
76,1904A09SMLJ0000000000128704,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1756,46,22.4,56,36,3.72,SELATAN,2.13434098,116.7889357,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
83,1904A09SMLJ0000000000128705,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1786,47,17.8,54,41,3.09,SELATAN,2.1332787,116.7889492,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
89,1904A09SMLJ0000000000128707.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1723,81,16.1,91,71,8.3,SELATAN,2.132678388,116.7889291,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
89,1904A09SMLJ0000000000128707.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1733,64,17,71,58,5.47,SELATAN,2.132678388,116.7889291,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
92,1904A09SMLJ0000000000128708,Meranti Kuning,X-01,57,Pohon Muda,icon/young_tree.svg,2,,,,,,,SELATAN,2.132209375,116.7889272,Belum Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
93,1904A09SMLJ0000000000128709,Meranti Kuning,X-01,57,Pohon Muda,icon/young_tree.svg,2,,,,,,,SELATAN,2.132116689,116.7889445,Belum Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
94,1904A09SMLJ0000000000128710,Meranti Kuning,X-01,57,Pohon Muda,icon/young_tree.svg,2,,,,,,,SELATAN,2.13211668,116.7888815,Belum Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
96,1904A09SMLJ0000000000128711,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,2,1721,94,12.8,115,74,8.88,SELATAN,2.131516883,116.7888705,Sudah Tebang,629,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
104,1904A09SMLJ0000000000128712,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1751,66,20.5,73,60,6.19,UTARA,2.132673953,116.789073,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
109,1904A09SMLJ0000000000128714.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1768,71,12.2,78,65,4.83,UTARA,2.132803153,116.7891424,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
109,1904A09SMLJ0000000000128714.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1779,54,15.2,65,44,3.48,UTARA,2.132803153,116.7891424,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
111,1904A09SMLJ0000000000128715,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1742,58,20.1,64,53,5.31,UTARA,2.133380567,116.7891167,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
112,1904A09SMLJ0000000000128716,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1735,64,18.1,70,59,5.82,UTARA,2.133380562,116.7890808,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
116,1904A09SMLJ0000000000128717,Meranti Merah,X-01,57,Pohon Muda,icon/young_tree.svg,3,,,,,,,UTARA,2.133943785,116.7891725,Belum Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
125,1904A09SMLJ0000000000128718.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1744,91,13.3,97,85,8.65,UTARA,2.134977284,116.7891558,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
125,1904A09SMLJ0000000000128718.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,3,1788,77,13.4,85,70,6.24,UTARA,2.134977284,116.7891558,Sudah Tebang,620,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
134,1904A09SMLJ0000000000128719,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1740,54,19.7,62,46,4.51,SELATAN,2.136748614,116.7892103,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
155,1904A09SMLJ0000000000128721,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1748,47,20,57,37,3.47,SELATAN,2.134838178,116.7893082,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
158,1904A09SMLJ0000000000128722.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1746,92,11.1,104,80,6.79,SELATAN,2.134639251,116.7894018,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
158,1904A09SMLJ0000000000128722.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1749,73,17.4,80,67,7.11,SELATAN,2.134639251,116.7894018,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
182,1904A09SMLJ0000000000128724,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1730,59,22.4,67,51,6.12,SELATAN,2.132426379,116.789311,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
186,1904A09SMLJ0000000000128725.01,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1776,64,17.5,72,56,5.63,SELATAN,2.132187777,116.7894527,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
186,1904A09SMLJ0000000000128725.02,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1787,49,16.5,56,43,3.11,SELATAN,2.132187777,116.7894527,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
191,1904A09SMLJ0000000000128726,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,4,1773,55,13.5,60,50,2.9,SELATAN,2.131937566,116.7892944,Sudah Tebang,607,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
199,1904A09SMLJ0000000000128727,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1783,51,19.4,58,44,3.96,UTARA,2.13245195,116.7897298,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
200,1904A09SMLJ0000000000128728,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1728,56,19.5,63,50,4.8,UTARA,2.132907616,116.7897182,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
202,1904A09SMLJ0000000000128729,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,2055,40,15.9,50,30,2,UTARA,2.132983254,116.7897052,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
209,1904A09SMLJ0000000000128730,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1753,56,23,65,48,5.66,UTARA,2.133797853,116.7896529,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
210,1904A09SMLJ0000000000128731,Bangkirai,X-01,57,Pohon Muda,icon/young_tree.svg,5,,,,,,,UTARA,2.133797838,116.789545,Belum Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
212,1904A09SMLJ0000000000128732,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1790,81,15.6,89,74,8.04,UTARA,2.13415071,116.7895256,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
223,1904A09SMLJ0000000000128733,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1729,52,18.7,60,45,3.97,UTARA,2.134870839,116.789614,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
224,1904A09SMLJ0000000000128734,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1739,72,19.9,77,68,8.1,UTARA,2.135132553,116.7896638,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
226,1904A09SMLJ0000000000128735,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1758,89,17.9,95,84,11.14,UTARA,2.135295245,116.7895704,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
227,1904A09SMLJ0000000000128736,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1754,64,19.6,71,57,5.52,UTARA,2.135277154,116.7895974,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
229,1904A09SMLJ0000000000128737,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1724,60,21.2,70,50,5.99,UTARA,2.135623994,116.7895991,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
230,1904A09SMLJ0000000000128738,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1725,58,15.8,61,55,3.77,UTARA,2.13568386,116.7896402,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
231,1904A09SMLJ0000000000128739,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1757,48,20.9,56,40,3.78,UTARA,2.135991186,116.7896181,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
236,1904A09SMLJ0000000000128740,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,5,1731,48,17.2,54,43,3.11,UTARA,2.136435524,116.7895855,Sudah Tebang,587,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
247,1904A09SMLJ0000000000128741,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,2065,69,20.2,76,62,7.55,SELATAN,2.136420136,116.7897295,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
249,1904A09SMLJ0000000000128742,Terap,X-01,57,Pohon Muda,icon/young_tree.svg,6,,,,,,,SELATAN,2.136150107,116.7898061,Belum Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
253,1904A09SMLJ0000000000128744,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,1750,79,15.2,89,70,7.45,SELATAN,2.135175715,116.7897485,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
260,1904A09SMLJ0000000000128745,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,1741,50,20.2,58,43,3.97,SELATAN,2.134908125,116.7899039,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
267,1904A09SMLJ0000000000128746,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,1755,48,22.1,57,40,4,SELATAN,2.134706383,116.7898435,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
268,1904A09SMLJ0000000000128747,Meranti Merah,X-01,57,Pohon Muda,icon/young_tree.svg,6,,,,,,,SELATAN,2.134658501,116.7898909,Belum Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
270,1904A09SMLJ0000000000128748,Meranti,X-01,57,Pohon Muda,icon/young_tree.svg,6,,,,,,,SELATAN,2.13441158,116.7899114,Belum Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
273,1904A09SMLJ0000000000128750,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,1771,68,23.2,77,60,8.43,SELATAN,2.133904796,116.7898739,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
275,1904A09SMLJ0000000000128751,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,1772,47,18.3,54,40,3.17,SELATAN,2.133803542,116.7898398,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
278,1904A09SMLJ0000000000128752,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,6,1767,56,17.2,63,50,4.24,SELATAN,2.133197299,116.7898834,Sudah Tebang,563,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
292,1904A09SMLJ0000000000128754,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,1763,51,16.2,58,45,3.31,UTARA,2.13189628,116.7900214,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
302,1904A09SMLJ0000000000128755,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,2073,50,21.1,60,40,4.14,UTARA,2.132901476,116.7901927,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
305,1904A09SMLJ0000000000128756,Medang,X-01,57,Pohon Muda,icon/young_tree.svg,7,,,,,,,UTARA,2.133041532,116.7901404,Belum Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
314,1904A09SMLJ0000000000128757,Meranti,X-01,57,Pohon Muda,icon/young_tree.svg,7,,,,,,,UTARA,2.133960568,116.7901516,Belum Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
317,1904A09SMLJ0000000000128760,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,1752,62,21.7,70,55,6.55,UTARA,2.134725159,116.7901054,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
320,1904A09SMLJ0000000000128762,Bangkirai,X-01,57,Pohon Muda,icon/young_tree.svg,7,,,,,,,UTARA,2.135074635,116.7900463,Belum Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
321,1904A09SMLJ0000000000128763,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,2077,58,16.8,64,52,4.44,UTARA,2.135029414,116.7901542,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
326,1904A09SMLJ0000000000128764,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,1738,47,18.4,55,40,3.19,UTARA,2.135159376,116.7900841,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
328,1904A09SMLJ0000000000128765,Meranti Merah,X-01,57,Pohon Muda,icon/young_tree.svg,7,,,,,,,UTARA,2.135675017,116.790224,Belum Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
330,1904A09SMLJ0000000000128766,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,2074,48,18.6,56,41,3.37,UTARA,2.135674998,116.7900891,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
331,1904A09SMLJ0000000000128767,Meranti Kuning,X-01,57,Pohon Muda,icon/young_tree.svg,7,,,,,,,UTARA,2.135813744,116.7902167,Belum Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
340,1904A09SMLJ0000000000128768,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,7,1782,43,21.1,50,36,3.06,UTARA,2.136306425,116.7900606,Sudah Tebang,556,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
341,1904A09SMLJ0000000000128769,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,8,2056,47,19.7,54,40,3.42,SELATAN,2.136925629,116.7903158,Sudah Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
344,1904A09SMLJ0000000000128770,Meranti Merah,X-01,57,Pohon Muda,icon/young_tree.svg,8,,,,,,,SELATAN,2.136510343,116.7904161,Belum Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
347,1904A09SMLJ0000000000128771,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,8,2053,73,19.8,89,58,7.65,SELATAN,2.136374262,116.7903942,Sudah Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
351,1904A09SMLJ0000000000128773,Meranti,X-01,57,Pohon Muda,icon/young_tree.svg,8,,,,,,,SELATAN,2.136041993,116.7902699,Belum Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
355,1904A09SMLJ0000000000128775,Meranti,X-01,57,Pohon Muda,icon/young_tree.svg,8,,,,,,,SELATAN,2.135877159,116.7903202,Belum Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
358,1904A09SMLJ0000000000128779,Meranti Merah,X-01,57,Pohon Dewasa,icon/mature_tree.svg,8,2079,74,14.8,79,70,6.37,SELATAN,2.135645262,116.7902897,Sudah Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
359,1904A09SMLJ0000000000128778,Meranti,X-01,57,Pohon Muda,icon/young_tree.svg,8,,,,,,,SELATAN,2.135636225,116.7903616,Belum Tebang,558,POHON TEBANG,media/noimage.jpg,Sumber:,SLJIV,www.google.com,media/noimage.jpg,,,,media/noimage.jpg,,,,media/noimage.jpg,,,,
