nomor_pohon,barcode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image4,chart_link
807,1904A09SMLJ0000000000129388,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,39,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.126341846,116.8002595,2.894803565,3.23,Belum,-,-,Khomidi,28/09/2021 14:56,50000,2428.06,-,"Chave et al, 2014",media/1632815767911.jpg,Caption,Source,SourceLink,media/1632815776668.jpg,Caption,Source,SourceLink,media/1632815794201.jpg,media/1632815803482.jpg,
829,1904A09SMLJ0000000000129390,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,33,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.128078333,116.8002896,3.364362271,3.11,Belum,-,-,Jedi Satria,28/09/2021 09:22,50000,1323.43,-,"Chave et al, 2014",media/1632795628914.jpg,Caption,Source,SourceLink,media/1632795651857.jpg,Caption,Source,SourceLink,media/1632795714785.jpg,media/1632795735065.jpg,
844,1904A09SMLJ0000000000129391,Bongka,-,Pohon Muda,icon/young_tree.svg,Not Defined,35,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.129158219,116.800293,0.926925153,3.11,Belum,-,-,Sudirman,28/09/2021 10:25,50000,2084.21,-,"Brown, 1997",media/1632799471568.jpg,Caption,Source,SourceLink,media/1632799481579.jpg,Caption,Source,SourceLink,media/1632799495163.jpg,media/1632799506796.jpg,
889,1904A09SMLJ0000000000129395,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,54,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.133030988,116.8001292,16.4513652,3.23,Belum,-,-,Sudirman,28/09/2021 15:16,200000,5697.93,-,"Chave et al, 2014",media/1632816972489.jpg,Caption,Source,SourceLink,media/1632816983383.jpg,Caption,Source,SourceLink,media/1632816998446.jpg,media/1632817006396.jpg,
913,1904A09SMLJ0000000000129396,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,42,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132651863,116.8003871,-0.224346672,3.23,Belum,-,-,Sudirman,28/09/2021 10:16,200000,2119.06,-,"Chave et al, 2014",media/1632798957160.jpg,Caption,Source,SourceLink,media/1632798967643.jpg,Caption,Source,SourceLink,media/1632798984939.jpg,media/1632798998367.jpg,
923,1904A09SMLJ0000000000129398,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.131632294,116.8003626,7.717472181,3.25,Belum,-,-,Mukhlis,28/09/2021 10:19,200000,1926.55,-,"Chave et al, 2014",media/1632799084423.jpg,Caption,Source,SourceLink,media/1632799103174.jpg,Caption,Source,SourceLink,media/1632799121926.jpg,media/1632799130032.jpg,
928,1904A09SMLJ0000000000129399,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,32,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.131291645,116.800437,5.670815264,3.23,Belum,-,-,Jefri Azwar,28/09/2021 10:21,50000,1246.27,-,"Chave et al, 2014",media/1632799206789.jpg,Caption,Source,SourceLink,media/1632799227161.jpg,Caption,Source,SourceLink,media/1632799244972.jpg,media/1632799255384.jpg,
931,1904A09SMLJ0000000000129400,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,31,10,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.131215888,116.8003584,-5.149081558,3.23,Belum,-,-,Mukhlis,28/09/2021 10:23,50000,788.56,-,"Chave et al, 2014",media/1632799352572.jpg,Caption,Source,SourceLink,media/1632799363405.jpg,Caption,Source,SourceLink,media/1632799378601.jpg,media/1632799388816.jpg,
938,1904A09SMLJ0000000000129401,Gurah,-,Pohon Muda,icon/young_tree.svg,Not Defined,32,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.130503064,116.8004465,10.5799178,3.24,Belum,-,-,Jefri Azwar,28/09/2021 10:04,50000,1661.42,-,"Brown, 1997",media/1632798190629.jpg,Caption,Source,SourceLink,media/1632798212210.jpg,Caption,Source,SourceLink,media/1632798229672.jpg,media/1632798240264.jpg,
1018,1904A09SMLJ0000000000129405,Gurah,-,Pohon Muda,icon/young_tree.svg,Not Defined,30,10,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.131368176,116.8006685,5.484434258,3.24,Belum,-,-,Jefri Azwar,28/09/2021 10:08,50000,1411.13,-,"Brown, 1997",media/1632798415791.jpg,Caption,Source,SourceLink,media/1632798443733.jpg,Caption,Source,SourceLink,media/1632798459682.jpg,media/1632798470058.jpg,
